Date,Year,Lat_degN,Lon_degW,Replicate,Discharge_m3persec,NO3,delta15N,delta18O,TN_umolperL,TP_umolperL,NH4,PO4,NO2_umolperL,Li,Be,Al,V,Cr,Mn,Fe,Co,Ni,Cu,Zn,Ga,As,Se,Rb,Sr,Ag,Cd,Cs,Ba,Tl,Pb,U
1/28/16,2016,37.423306,122.189535,GC 3a,0.62,36.76,6.54,11.50,35.00,,3.50,2.13,,1867.17, ,287.94, , ,381.16,406.66,3.07,54.91,34.76, ,7.27, ,28.89,13.95,4118.92, , , ,410.77, ,0.69,3.75
1/28/16,2016,37.423306,122.189535,GC 3b,0.62,36.76,6.54,11.50,35.00,,3.50,2.13,,1957.93, ,100.88, , ,400.27,600.41, ,60.21,47.74, ,9.60, ,33.38,9.33,4430.50, , , ,445.29, , ,7.12
2/4/16,2016,37.423306,122.189535,GC 1,0.48,29.53,7.71,12.84,22.93,,3.89,,,2212.94, ,71.75, ,46.72,447.78,589.49, ,62.26,49.51, ,9.77, ,21.97,9.42,5021.68, , , ,468.59, , ,8.07
2/4/16,2016,37.423306,122.189535,GC 2,0.48,29.28,7.79,12.83,25.61,8.07,3.89,1.57,,2224.46, ,56.00, ,46.93,457.97,567.64, ,57.79,48.85, ,9.32, ,28.81,9.33,4989.73, , , ,468.66, , ,8.07
2/4/16,2016,37.423306,122.189535,GC 3,0.48,27.94,7.47,13.00,25.60,0.41,3.44,1.90,,2297.94, ,120.53, ,46.10,473.08,634.43, ,61.27,48.31, ,9.19,6.53,26.90,9.24,5018.26, , , ,466.91, , ,8.14
2/4/16,2016,37.413782,122.192731,PL 1,1.63,18.68,7.03,13.75,,,3.66,1.73,,2459.30, ,121.23, , ,592.30,662.19, ,62.80,49.92, ,8.76, ,38.17,10.25,4990.87, , , ,455.19, , ,8.04
2/4/16,2016,37.413782,122.192731,PL 2,1.63,23.21,6.77,13.86,,,3.89,6.58,,2528.45, ,140.95, ,43.77,594.12,675.44, ,64.71,52.92, ,8.62, ,31.86,10.92,5002.28, , , ,459.92, , ,8.04
2/4/16,2016,37.413782,122.192731,PL 3,1.63,22.79,7.10,13.72,,,4.21,1.61,,2521.25, ,80.35, , ,593.94,557.61, ,60.91,46.69, ,8.48,5.19,24.80,9.95,4994.29, , , ,459.71, , ,8.09
2/4/16,2016,37.439489,122.179837,SW 1,0.48,30.87,8.21,12.55,,,3.16,1.86,,2253.28,659.330,126.83,370.62,94.87,317.99,403.62,34.90,270.05,231.80,380.85,42.28, ,15.20,36.58,4295.82,34.79,103.82,10.05,483.08,3.55,4.94,9.73
2/4/16,2016,37.439489,122.179837,SW 2,0.48,29.01,9.07,13.59,,,2.89,1.94,,2338.28,464.482,206.33,414.79,85.83,326.19,513.74,23.55,214.50,177.04, ,33.32, ,28.74,29.32,4503.54,27.32,74.68,7.18,478.57,2.48,3.43,9.34
2/4/16,2016,37.439489,122.179837,SW 3,0.48,30.56,7.47,13.10,,,4.11,2.03,,2503.96,50.598,113.04,412.24,56.23,340.38,532.72, ,76.38,61.07, ,11.10, ,37.34,11.20,4997.72,8.40,7.01, ,461.45,0.24, ,8.39
2/11/16,2016,37.382953,122.192809,AI 1,0.07,3.24,8.74,14.03,,,3.39,0.64,,513.04,4.438, , ,55.31,115.95,125.26, ,36.78,36.76, ,11.16, ,14.39, ,4228.49, , , ,601.85, , ,4.97
2/11/16,2016,37.382953,122.192809,AI 2,0.07,3.85,8.63,14.00,,,3.22,0.92,,527.73, , ,399.09,56.39,115.46,140.23, ,35.08,28.34, ,11.33, ,19.77, ,4221.64, , , ,598.72, , ,4.91
2/11/16,2016,37.382953,122.192809,AI 3,0.07,3.66,9.55,13.62,,,3.83,0.75,,545.74,140.477, ,439.92,68.70,119.17,144.24,0.98,78.85,64.46, ,18.34, ,15.58,8.87,4106.37,11.88,21.25,1.44,599.15,0.68,0.93,5.26
2/11/16,2016,37.423306,122.189535,GC 1,0.28,29.93,9.37,13.99,22.66,1.85,9.24,1.20,,2747.44,8.988, ,387.50,51.72,353.85,489.75, ,69.55,54.57, ,10.10, ,24.71,9.82,5788.63,6.58, , ,515.34, , ,9.47
2/11/16,2016,37.423306,122.189535,GC 2,0.28,32.52,9.66,13.65,26.78,,6.81,1.19,,2787.78, , ,456.99,57.45,356.77,497.09, ,66.45,54.04, ,9.08, ,26.42,9.63,5805.75, , , ,512.65, , ,9.48
2/11/16,2016,37.423306,122.189535,GC 3,0.28,30.76,8.70,14.23,21.44,36.32,7.09,1.28,,2812.27, , ,415.77,53.45,357.31,489.03, ,64.88,49.60, ,8.63, ,31.89,9.36,5845.70, , , ,510.53, , ,9.57
2/11/16,2016,37.413782,122.192731,PL 1,0.28,22.32,8.51,15.29,,,6.81,1.08,,3044.23, , ,412.83,53.60,457.61,541.32, ,67.16,50.29, ,8.56, ,33.65,10.26,5901.62, , , ,506.75, , ,9.62
2/11/16,2016,37.413782,122.192731,PL 2,0.28,21.67,7.94,15.58,,,5.49,0.95,,3026.94, , ,400.66,50.75,452.33,521.26, ,67.49,50.75, ,8.75, ,30.22,10.20,5820.59, , , ,506.24, , ,9.68
2/11/16,2016,37.413782,122.192731,PL 3,0.28,22.81,7.86,15.60,,,8.63,1.09,,3065.84, , , ,44.25,455.60,571.04, ,69.29,63.47, ,8.33, ,33.24,11.42,5871.95, , , ,507.69, , ,9.65
2/11/16,2016,37.439489,122.179837,SW 1,0.34,28.78,8.60,14.46,,,4.93,1.89,,2927.53, ,42.21,399.28,52.29,209.87,509.09, ,65.22,51.79, ,8.22, ,29.09,9.24,5838.85, , , ,506.24, , ,9.65
2/11/16,2016,37.439489,122.179837,SW 2,0.34,29.29,8.69,14.53,,,8.96,1.25,,2936.18,6.547, ,371.80,50.27,206.05,462.17, ,66.00,56.62, ,8.83, ,31.91,10.13,5838.85, , , ,505.65, , ,9.68
2/11/16,2016,37.439489,122.179837,SW 3,0.34,24.73,8.44,14.63,,,6.70,1.88,,2672.53,593.863, , ,89.66,206.78,296.71,32.32,253.35,208.67, ,39.77, ,43.06,33.83,5025.11,32.21,95.36,8.71,522.40,3.06,4.24,10.84
2/25/16,2016,37.423306,122.189535,GC 1,0.24,18.90,,,21.71,3.40,,0.62,0.19,1535.80, , , ,80.72,306.53,617.78,5.19,91.78,99.88, ,12.09,16.30,42.43,9.03,5822.87,7.81, , ,523.93, , ,6.76
2/25/16,2016,37.423306,122.189535,GC 2,0.24,34.40,,,14.69,2.33,,0.34,,1545.89, , ,388.48,88.12,307.44,523.95,4.89,87.61,95.24, ,12.21,17.52,54.62,9.44,5778.36,7.87, , ,520.22, , ,6.74
2/25/16,2016,37.423306,122.189535,GC 3,0.24,28.60,,,17.09,12.74,,0.82,1.07,1571.82, , ,398.50,90.66,309.99,543.65,4.75,85.41,88.33, ,12.05,11.80,44.01,9.15,5816.02,7.83, , ,530.78, , ,6.80
2/25/16,2016,37.439489,122.179837,SW 1,0.24,28.40,,,,,,,,1664.03, ,22.79,414.59,91.55,157.18,432.27,4.82,85.05,86.17, ,11.65,11.10,41.13,8.93,5849.12,7.84, , ,518.98, , ,6.93
2/25/16,2016,37.439489,122.179837,SW 2,0.24,26.90,,,,,,0.38,0.76,1653.94, , ,408.90,89.99,154.41,416.87,4.72,81.88,83.83, ,11.63,8.21,34.23,9.33,5779.50,7.95, , ,518.98, , ,6.94
2/25/16,2016,37.439489,122.179837,SW 3,0.24,25.20,,,,,,1.13,1.89,1675.55, , , ,84.51,156.16,411.14,4.70,86.19,78.05, ,11.56,13.49,28.96,9.06,5769.23,7.84, , ,515.19, , ,6.84
20170112,2:25 PM,GC,37.423306,GC1,224,36.03,,,,,2.81,1.48,,958.7896254,2.66,1138.250556,78.56,38.52,172.97,985.32,2.87,60.42,36.03,76.48,29.10,8.93,26.91,9.80,2919.42,0.06,0.23,0.08,353.02,0.00,0.09,3.49
20170112,2:25 PM,GC,37.423306,GC2,224,34.71,,,,,2.69,1.53,,954.8991354,2.11,1023.721275,80.17,44.31,172.46,805.01,2.78,61.05,37.44,-119.30,28.59,7.81,22.80,9.85,2897.74,0.00,0.19,0.05,348.79,0.00,0.01,3.41
20170112,2:25 PM,GC,37.423306,GC3,224,35.95,,,,,2.52,1.31,,949.5677233,1.44,1033.728688,98.35,40.33,170.75,632.23,2.70,59.67,35.20,54.60,28.16,8.60,26.28,9.55,2869.21,-0.02,0.16,0.02,350.40,0.00,0.00,3.43
20170117,9:00 AM,GC,37.423306,GC1,42,47.56,,,,,2.41,0.47,,1392.363112,1.00,331.7642698,103.75,57.92,402.62,19.93,2.63,54.98,21.24,125.27,40.75,8.13,32.32,8.37,4653.05,-0.05,0.12,0.00,530.47,0.00,-0.17,6.52
20170117,9:00 AM,GC,37.423306,GC2,42,46.46,,,,,2.16,0.41,,1400.720461,0.89,248.7027428,93.88,61.62,400.80,-146.11,2.56,54.59,20.83,69.29,39.76,8.69,31.08,8.21,4630.22,-0.09,0.10,0.00,524.36,0.00,-0.22,6.53
20170117,9:00 AM,GC,37.423306,GC3,42,45.89,,,,,2.06,0.35,,1400.864553,1.00,385.4707191,96.45,59.88,400.98,-16.29,2.73,55.12,22.38,79.23,39.72,8.73,29.74,8.31,4647.34,-0.09,0.12,-0.01,529.31,0.00,-0.19,6.60
20170119,2:05 PM,LB,37.400887,LB1,,20.63,,,,,2.56,1.33,,792.074928,1.55,6590.066716,127.74,54.10,1201.49,3593.38,7.67,77.63,52.86,104.31,24.53,7.77,7.57,11.16,2685.46,-0.04,0.19,0.07,315.30,0.00,0.65,3.23
20170119,2:05 PM,LB,37.400887,LB2,,19.74,,,,,2.86,1.31,,798.8472622,1.33,6019.273536,90.26,56.04,1228.61,3521.75,7.43,77.58,49.11,79.08,24.64,9.92,10.63,10.80,2709.43,-0.06,0.16,0.06,315.08,0.00,0.42,3.17
20170119,2:05 PM,LB,37.400887,LB3,,19.74,,,,,2.58,1.35,,789.3371758,1.44,6994.069681,81.08,54.92,1135.78,4044.58,7.28,77.34,53.44,-9.02,24.77,9.93,10.02,11.63,2687.74,-0.04,0.19,0.07,313.11,0.00,0.54,3.08
20170119,2:55 PM,SD,37.407333,SD1,,23.22,,,,,3.67,1.08,,1389.337176,1.00,865.4558933,100.75,48.02,977.43,753.27,4.29,78.07,41.46,143.93,28.92,8.77,21.16,14.03,3951.15,-0.06,0.20,0.01,380.98,0.00,-0.02,6.34
20170119,2:55 PM,SD,37.407333,SD2,,22.41,,,,,3.98,1.17,,1413.832853,0.78,1064.862861,87.69,45.06,993.99,1000.36,4.36,80.34,44.89,58.89,29.13,10.38,23.14,15.27,3984.25,-0.07,0.18,0.02,381.93,0.00,-0.01,6.32
20170119,2:55 PM,SD,37.407333,SD3,,22.13,,,,,3.75,1.23,,1400,0.89,1353.224611,105.06,41.81,938.30,1264.10,4.23,78.87,41.35,140.41,28.80,9.62,21.95,13.89,3968.27,-0.07,0.20,0.02,382.22,0.00,0.06,6.36
20170119,3:15 PM,CF,37.410732,CF1,,23.87,,,,,3.29,1.51,,1157.060519,1.22,2632.320237,128.82,42.06,724.79,1695.79,3.95,69.84,40.38,90.55,27.61,8.50,18.33,12.55,3443.28,-0.03,0.15,0.02,368.97,0.00,0.21,5.08
20170119,3:15 PM,CF,37.410732,CF2,,23.53,,,,,3.44,1.17,,1157.492795,0.78,2085.618977,140.24,38.31,734.62,1328.74,3.75,69.18,40.02,152.03,27.77,8.68,20.09,12.37,3455.83,-0.06,0.16,0.02,370.20,0.00,0.13,5.13
20170119,3:15 PM,CF,37.410732,CF3,,24.54,,,,,4.07,1.25,,1183.14121,0.89,871.7568569,111.82,36.96,744.27,520.50,3.61,69.31,37.83,18.97,27.73,8.54,20.14,12.06,3514.04,-0.09,0.18,0.00,366.71,0.00,-0.16,5.12
20170119,4:00 PM,GC,37.423306,GC1,249,31.11,,,,,2.79,2.00,,1056.772334,0.89,2237.583395,125.89,36.92,363.67,1560.79,3.46,72.57,45.85,55.22,27.35,9.84,18.05,11.57,3200.18,-0.06,0.14,0.01,360.08,0.00,0.18,4.68
20170119,4:00 PM,GC,37.423306,GC2,249,30.68,,,,,3.28,1.86,,1060.518732,1.00,2601.186064,115.35,35.27,368.95,1871.80,3.53,73.66,51.46,7.65,27.77,9.46,19.85,12.09,3202.47,-0.08,0.15,0.01,362.34,0.00,0.21,4.68
